고용형태,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
고용형태_총근로일수_정규직근로자 (일),22.7,22.2,23.1,22.9,22.5,21.7,21,21,22.7,22.1,21.9
고용형태_총근로일수_비정규직근로자 (일),20.8,19.9,20.4,20,19.1,18.4,17.9,17.3,18.1,17.6,17.4
