종사자규모별,2009_H1,2009_H2,2010_H1,2010_H2,2011_H1,2011_H2,2012_H1,2012_H2,2013_H1,2013_H2,2014_H1,2014_H2,2015_H1,2015_H2,2016_H1,2016_H2
전체산업_사업체수_(300인미만),3290506,3321342.5,3352179,3409439.5,3466700,3532916.5,3599133,3636280.5,3673428,3741396,3809364,3839866.5,3870369,3908307.5,3946246,3946246
전체산업_사업체수_(300인이상),3052,3171.5,3291,3312.5,3334,3338.5,3343,3395.5,3448,3452,3456,3627,3798,3872,3946,3946
